Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2010,ABD,Aberdeen,Urban Background,n/m,n/m,1,0,-,n/m,0,1
2010,ARM6,Armagh Roadside,Urban Traffic,n/m,n/m,35,n/m,0,n/m,n/m,35
2010,BEL2,Belfast Centre,Urban Background,n/m,n/m,-,15,0,0,1,16
2010,BIR1,Birmingham Tyburn,Urban Background,n/m,n/m,-,-,4,0,8,12
2010,BIRT,Birmingham Tyburn Roadside,Urban Traffic,n/m,n/m,1,8,1,n/m,4,13
2010,BRS8,Bristol St Paul's,Urban Background,n/m,n/m,4,16,0,0,8,23
2010,BURY,Bury Roadside,Urban Traffic,n/m,n/m,2,6,9,n/m,n/m,13
2010,CA1,Camden Kerbside,Urban Traffic,n/m,n/m,10,-,37,n/m,n/m,45
2010,CARD,Cardiff Centre,Urban Background,n/m,n/m,-,6,0,0,4,10
2010,CARL,Carlisle Roadside,Urban Traffic,n/m,n/m,16,17,0,n/m,n/m,23
2010,CHAT,Chatham Roadside,Urban Traffic,n/m,n/m,-,-,-,n/m,n/m,-
2010,CHP,Chepstow A48,Urban Traffic,n/m,n/m,-,-,0,n/m,n/m,0
2010,CHS6,Chesterfield,Urban Background,n/m,n/m,8,10,0,n/m,n/m,11
2010,CHS7,Chesterfield Roadside,Urban Traffic,n/m,n/m,-,8,0,n/m,n/m,8
2010,DERY,Derry,Urban Background,n/m,n/m,-,-,0,0,-,0
2010,EB,Eastbourne,Urban Background,n/m,n/m,-,9,-,n/m,n/m,9
2010,ED3,Edinburgh St Leonards,Urban Background,n/m,n/m,0,0,0,0,0,0
2010,GLA3,Glasgow Centre,Urban Background,n/m,n/m,-,17,10,0,0,19
2010,GLA4,Glasgow Kerbside,Urban Traffic,n/m,n/m,25,46,42,n/m,n/m,72
2010,GRAN,Grangemouth,Urban Industrial,n/m,n/m,1,4,0,16,n/m,20
2010,HG1,Haringey Roadside,Urban Traffic,n/m,n/m,9,21,0,n/m,n/m,21
2010,HUL2,Hull Freetown,Urban Background,n/m,n/m,4,6,2,0,0,7
2010,INV2,Inverness,Urban Traffic,2,0,n/m,n/m,0,n/m,n/m,2
2010,LEAM,Leamington Spa,Urban Background,n/m,n/m,1,11,0,0,11,22
2010,LEED,Leeds Centre,Urban Background,n/m,n/m,4,13,1,0,2,16
2010,LED6,Leeds Headingley Kerbside,Urban Traffic,n/m,n/m,-,19,0,n/m,n/m,19
2010,LEIC,Leicester Centre,Urban Background,n/m,n/m,3,-,0,0,0,3
2010,LVP,Liverpool Speke,Urban Background,n/m,n/m,2,4,0,1,9,14
2010,CLL2,London Bloomsbury,Urban Background,n/m,n/m,2,12,1,0,1,14
2010,HRL,London Harlington,Urban Industrial,n/m,n/m,1,7,0,n/m,8,15
2010,MY1,London Marylebone Road,Urban Traffic,15,-,22,-,133,0,0,140
2010,KC1,London N. Kensington,Urban Background,2,6,-,10,0,0,5,16
2010,MID,Middlesbrough,Urban Background,n/m,n/m,0,1,0,0,3,4
2010,NEWC,Newcastle Centre,Urban Background,n/m,n/m,0,3,0,0,4,7
2010,NPT3,Newport,Urban Background,n/m,n/m,-,9,3,n/m,n/m,12
2010,NO12,Norwich Lakenfields,Urban Background,n/m,n/m,4,12,0,0,6,18
2010,NOTT,Nottingham Centre,Urban Background,n/m,n/m,12,14,2,0,4,20
2010,OX8,Oxford St Ebbes,Urban Background,n/m,n/m,1,12,0,n/m,n/m,12
2010,PLYM,Plymouth Centre,Urban Background,n/m,n/m,-,2,0,n/m,0,2
2010,PT4,Port Talbot Margam,Urban Industrial,11,-,-,0,0,1,6,16
2010,PMTH,Portsmouth,Urban Background,n/m,n/m,-,-,0,n/m,5,5
2010,REA1,Reading New Town,Urban Background,n/m,n/m,-,5,-,n/m,11,16
2010,ECCL,Salford Eccles,Urban Industrial,n/m,n/m,3,8,2,0,3,13
2010,SALT,Saltash Roadside,Urban Traffic,n/m,n/m,-,-,n/m,n/m,n/m,-
2010,SDY,Sandy Roadside,Urban Traffic,n/m,n/m,2,14,1,n/m,n/m,15
2010,SCN2,Scunthorpe Town,Urban Industrial,n/m,n/m,11,n/m,0,0,n/m,11
2010,SHE2,Sheffield Centre,Urban Background,n/m,n/m,10,15,1,0,2,18
