Year ,Region,Sum of AveragePrice,Sum of DetachedPrice,Sum of SemiDetachedPrice,Sum of FlatPrice,Sum of TerracedPrice,Sum of MortgagePrice,Sum of FTBPrice,Sum of FOOPrice,Sum of CashPrice,Sum of NewPrice,Sum of OldPrice
,Aberdeenshire,29795430.07,41912753.09,25839994.62,16733626.8,21514993.76,26062022.61,21869822.59,29254135.49,23856944.65,32721918.52,29115021.34
2010,Aberdeenshire,2127368.959,2948460.112,1838602.448,1266746.463,1550186.159,NAN,NAN,NAN,NAN,2218519.358,2118386.957
2011,Aberdeenshire,2157794.42,3003683.334,1860566.003,1276148.738,1565628.981,NAN,1702446.58,NAN,NAN,2331108.429,2140692.785
2012,Aberdeenshire,2095794.695,2914753.849,1813790.888,1224582.952,1528737.508,2135954.191,1662388.312,2396211.023,1964542.464,2246898.152,2080097.352
2013,Aberdeenshire,2149823.95,2990247.428,1863052.52,1244157.785,1571718.38,2195084.312,1705423.045,2461180.591,2014385.611,2326359.77,2133360.969
2014,Aberdeenshire,2313966.473,3241108.261,2000831.668,1317173.152,1679978.413,2363693.045,1829335.557,2653487.714,2165626.747,2538521.737,2294798.002
2015,Aberdeenshire,2401697.008,3370290.615,2082839.826,1356852.914,1737552.731,2453035.397,1900863.563,2752412.325,2248428.917,2630526.466,2382424.953
2016,Aberdeenshire,2347160.03,3302841.457,2033165.821,1321257.803,1691790.285,2397458.639,1857590.288,2689862.394,2196962.904,2596197.914,2326362.338
2017,Aberdeenshire,2299385.705,3239602.081,1982122.161,1312935.751,1643735.167,2347767.357,1819088.357,2635201.092,2154443.641,2578204.939,2280830.861
2018,Aberdeenshire,2269599.884,3197744.573,1969131.947,1276881.383,1628244.687,2317649.031,1797015.211,2598677.376,2125824.309,2572673.479,2246438.586
2019,Aberdeenshire,2212129.215,3105845.592,1931871.916,1235490.522,1595069.566,2258583.883,1756372.218,2526160.906,2072915.733,2511293.492,2188859.122
2020,Aberdeenshire,2132670.712,3017215.664,1860963.496,1158711.194,1535647.803,2180557.275,1687401.47,2443749.58,1990522.399,2427074.067,2109528.111
2021,Aberdeenshire,2277056.709,3248803.362,1979297.277,1202823.092,1637655.189,2328860.03,1793743.387,2618419.622,2123704.697,2629859.255,2247500.01
2022,Aberdeenshire,2408689.63,3463725.328,2097914.981,1234461.703,1720636.716,2465964.876,1887027.579,2782319.818,2240767.664,2859890.989,2368364.926
2023,Aberdeenshire,602292.6764,868431.4396,525843.6647,305403.3436,428412.1764,617414.5677,471127.0263,696453.045,558819.5599,254790.4695,197376.3676
,Adur,44477223.43,67995083.88,49694925.18,27973550.46,42719403.47,39800530.3,33449474.49,43711596.29,39215742.58,46611632.55,43695557.17
2010,Adur,2456980.319,3661948.31,2696622.584,1632695.598,2338606.946,NAN,NAN,NAN,NAN,2517372.314,2458144.172
2011,Adur,2422288.398,3635569.912,2665495.729,1596711.89,2303872.517,NAN,NAN,NAN,NAN,2543266.581,2421611.558
2012,Adur,2520903.728,3768641.505,2785997.928,1645000.233,2413107.379,2520697.456,2132061.496,2766776.122,2504573.223,2641170.766,2520581.494
2013,Adur,2577068.124,3862583.575,2853133.392,1660697.635,2477044.723,2585652.802,2185122.419,2835555.428,2563092.444,2731557.465,2575712.715
2014,Adur,2899484.983,4361856.17,3211766.928,1861405.602,2788614.184,2911067.158,2462586.427,3187155.938,2880539.595,3086294.118,2897884.533
2015,Adur,3170336.563,4806241.142,3517272.729,2024673.48,3040176.306,3182071.592,2689180.408,3487535.312,3151212.849,3360043.035,3168612.889
2016,Adur,3521116.171,5362294.594,3908777.913,2245929.704,3366345.003,3532452.076,2989133.935,3871616.771,3502634.639,3785249.722,3518689.335
2017,Adur,3695851.287,5635939.671,4090890.367,2381991.989,3507781.449,3706068.515,3140643.818,4060723.751,3679196.128,3980026.587,3692527.238
2018,Adur,3794660.294,5802671.412,4232119.408,2404769.882,3615723.664,3808530.685,3215121.037,4178101.151,3771001.241,4119713.339,3791893.037
2019,Adur,3767845.546,5783887.905,4223405.393,2362904.167,3595620.906,3784101.363,3184996.356,4156175.765,3739525.43,4112888.93,3765189.461
2020,Adur,3808018.913,5871920.827,4299399.358,2338692.259,3665227.948,3833002.503,3208256.883,4214235.701,3762524.944,4078775.087,3811471.985
2021,Adur,4128754.254,6442411.57,4680063.305,2480562.724,4009397.59,4163174.689,3465233.753,4586131.941,4063928.539,4376799.274,4134602.439
2022,Adur,4550817.53,7164677.544,5198678.726,2661988.7,4457558.949,4598327.653,3805923.258,5070269.35,4458356.079,4847012.337,4554982.741
2023,Adur,1163097.317,1834439.746,1331301.414,675526.5936,1140325.909,1175383.804,971214.7028,1297319.058,1139157.466,431462.9947,383653.5688
,Amber Valley,25672276.97,36899929.72,23062868.35,15709853.07,19283994.83,22769668.32,19541535.68,25041045.04,22078169.07,36510383.61,24750948.61
2010,Amber Valley,1597360.741,2265726.074,1428864.993,1039387.058,1220737.895,NAN,NAN,NAN,NAN,2150478.358,1575093.139
2011,Amber Valley,1546968.346,2211202.925,1380742.483,1007401.136,1173004.67,NAN,NAN,NAN,NAN,2158547.664,1522780.63
2012,Amber Valley,1561637.301,2221477.007,1398616.231,1007650.388,1187795.178,1582193.554,1361771.676,1738704.775,1537859.97,2164968.927,1538108.293
2013,Amber Valley,1605058.157,2285970.811,1436757.192,1025909.283,1220675.76,1621542.336,1393534.827,1781805.175,1573810.266,2244101.32,1579881.587
2014,Amber Valley,1690126.686,2408053.76,1515363.712,1069507.814,1283083.244,1706544.172,1469717.235,1874270.572,1659039.003,2374916.498,1662927.625
2015,Amber Valley,1769030.661,2530784.863,1587822.232,1113834.538,1334849.466,1785852.963,1536492.996,1963413.339,1737202.399,2491637.576,1740183.303
2016,Amber Valley,1851875.111,2655201.949,1662496.492,1157598.118,1394122.945,1868966.599,1608815.3,2055006.146,1819525.011,2637636.42,1820683.904
2017,Amber Valley,1942748.268,2797271.116,1742430.93,1229156.703,1454936.836,1961091.904,1686642.261,2156525.762,1908043.653,2809312.68,1908850.87
2018,Amber Valley,2043575.252,2945534.787,1836493.712,1264384.762,1529017.238,2062995.739,1771359.977,2271449.021,2006909.479,2978208.559,2009512.111
2019,Amber Valley,2103725.643,3030556.613,1896459.299,1284933.934,1569990.231,2125071.283,1825492.01,2336291.3,2063158.445,3105964.599,2065112.722
2020,Amber Valley,2196536.945,3163933.876,1982582.861,1308282.355,1639907.548,2219598.929,1904929.868,2440549.105,2152897.215,3255488.914,2157367.604
2021,Amber Valley,2418793.44,3507075.406,2176241.115,1383102.844,1801514.516,2446444.713,2091914.844,2694120.259,2365349.52,3647039.952,2369951.28
2022,Amber Valley,2635659.456,3840104.321,2377398.933,1437027.14,1951836.345,2670394.274,2278334.158,2937894.849,2565351.313,4102164.156,2571584.087
2023,Amber Valley,709180.9673,1037036.212,640598.1674,381676.9988,522522.9584,718971.8562,612530.5302,791014.7327,689022.7994,389917.9861,228911.4562
,Angus,22516378.28,36371602.38,23488816.55,13417400.12,17080111.65,20240251.38,17043041.45,22520422.68,17609441.52,30438707.45,21815951.85
2010,Angus,1585579.72,2491492.789,1625097.161,1001878.171,1204390.887,NAN,NAN,NAN,NAN,2008897.824,1565082.579
2011,Angus,1545570.783,2445352.635,1589785.29,968322.0928,1170467.826,NAN,1265758.87,NAN,NAN,2025771.942,1522546.451
2012,Angus,1539436.387,2436563.969,1590543.708,953504.1012,1171553.678,1598986.227,1261729.306,1777640.17,1406834.682,2002678.257,1516895.92
2013,Angus,1535855.569,2434632.163,1594290.131,940288.3029,1171741.454,1600081.425,1258373.947,1776034.241,1401480.362,2022283.673,1513263.74
2014,Angus,1615509.309,2586308.697,1674242.835,975844.9231,1230554.187,1686075.374,1317031.895,1873595.08,1468885.372,2170616.898,1590966.859
2015,Angus,1681442.367,2696372.479,1748675.57,1012535.425,1277330.638,1753121.774,1373554.406,1947601.182,1531969.08,2267002.946,1655777.003
2016,Angus,1678376.786,2705242.403,1745808.133,1003552.43,1272906.01,1750120.478,1369399,1945760.902,1528730.66,2288411.082,1651835.127
2017,Angus,1697953.293,2746207.772,1759622.305,1024090.554,1275528.83,1770518.533,1383304.757,1970340.149,1546626.784,2347678.274,1671894.869
2018,Angus,1725684.614,2789727.653,1802748.923,1028056.318,1303255.28,1799590.598,1407052.556,2000192.854,1572187.527,2391636.022,1698493.808
2019,Angus,1749247.935,2826229.843,1835846.411,1033011.467,1327386.957,1825636.022,1425932.563,2026727.806,1591051.924,2463004.746,1719195.152
2020,Angus,1764684.271,2882770.928,1862787.741,1021263.023,1338371.322,1845102.048,1432341.563,2055039.164,1599606.417,2500699.451,1733494.804
2021,Angus,1883440.082,3114690.601,1987366.447,1066835.213,1431466.028,1972398.851,1524051.164,2199703.791,1701736.223,2706083.12,1846815.346
2022,Angus,2012294.597,3370801.12,2137583.108,1113619.722,1526273.694,2111894.048,1621469.919,2359164.737,1810297.982,2976466.785,1964632.621
2023,Angus,501302.5642,845209.3293,534418.7827,274598.381,378884.8561,526725.9999,403041.5045,588622.6047,450034.5094,267476.4252,165057.5748
,Antrim and Newtownabbey,21204510.62,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2010,Antrim and Newtownabbey,1640740.718,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,Antrim and Newtownabbey,1453658.779,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,Antrim and Newtownabbey,1292410.062,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,Antrim and Newtownabbey,1253294.665,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,Antrim and Newtownabbey,1343309.618,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,Antrim and Newtownabbey,1436244.793,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2016,Antrim and Newtownabbey,1531824.707,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017,Antrim and Newtownabbey,1584591.65,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2018,Antrim and Newtownabbey,1647091.42,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2019,Antrim and Newtownabbey,1705678.343,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2020,Antrim and Newtownabbey,1772912.196,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2021,Antrim and Newtownabbey,1911168.368,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2022,Antrim and Newtownabbey,2099769.675,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2023,Antrim and Newtownabbey,531815.6295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
,Ards and North Down,23903017.26,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2010,Ards and North Down,1947777.976,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,Ards and North Down,1690523.803,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,Ards and North Down,1509775.915,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,Ards and North Down,1458311.284,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,Ards and North Down,1554064.877,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,Ards and North Down,1650592.989,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2016,Ards and North Down,1702751.853,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017,Ards and North Down,1750904.908,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2018,Ards and North Down,1812193.96,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2019,Ards and North Down,1856026.45,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2020,Ards and North Down,1923962.431,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2021,Ards and North Down,2121815.827,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2022,Ards and North Down,2349245.32,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2023,Ards and North Down,575069.6673,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
,Argyll and Bute,22452535.89,34623751.12,22173690.08,14745916.78,17253645.67,19385490.59,16206671.88,22431883.75,19164761.11,22999794.75,22066884.86
